year,percentagesick,totalflupermonth
2009.25,3.9530482,
2009.3334,4.0240841,
2009.4166,4.1171093,
2009.5,4.6571808,
2009.5834,4.2605619,
2009.6666,4.2008448,
2009.75,4.7063422,
2009.8334,4.7637167,
2009.9166,4.6466932,
2010,4.8131986,
2010.0834,4.4481421,
2010.1666,4.2228818,
2010.25,3.9070663,
2010.3334,3.9062221,
2010.4166,3.9157119,
2010.5,3.9776132,
2010.5834,3.8248866,
2010.6666,4.089334,
2010.75,4.3123589,
2010.8334,4.3503866,
2010.9166,4.9605308,
2011,4.6567783,
2011.0834,4.0806141,
2011.1666,3.9253275,
2011.25,3.7300241,
2011.3334,3.6890631,
2011.4166,3.8976622,
2011.5,3.9692569,
2011.5834,3.9156873,
2011.6666,4.0331674,
2011.75,4.2469869,
2011.8334,4.4210129,
2011.9166,4.3931847,
2012,4.4585338,357
2012.0834,4.4810266,929
2012.1666,4.1751218,1145
2012.25,3.9986761,527
2012.3334,4.1204886,125
2012.4166,3.9292431,95
2012.5,4.1479306,35
2012.5834,4.0034952,22
2012.6666,4.0302935,29
2012.75,4.4005232,57
2012.8334,4.4920688,181
2012.9166,4.6066446,1904
2013,4.7245517,1928
2013.0834,4.3260484,2338
2013.1666,4.0780158,2152
2013.25,3.9809859,1150
2013.3334,3.7854786,117
2013.4166,3.8001664,15
2013.5,3.8754566,27
2013.5834,3.8077836,18
2013.6666,3.9422574,16
2013.75,4.1767521,31
2013.8334,4.2373743,76
2013.9166,4.3477678,235
2014,4.4431973,605
2014.0834,4.3049951,1547
2014.1666,4.0421696,1645
2014.25,3.9497137,469
2014.3334,3.8531964,112
2014.4166,3.9499257,26
2014.5,4.0804105,22
2014.5834,3.9862919,12
2014.6666,4.1559653,26
2014.75,4.4216323,78
2014.8334,4.4750962,118
2014.9166,4.7895141,818
2015,4.7217064,3058
2015.0834,4.4202724,3586
2015.1666,4.1845417,1976
2015.25,3.988934,959
2015.3334,3.9023268,371
2015.4166,3.9353061,208
2015.5,3.9835615,31
2015.5834,3.9226489,19
2015.6666,4.0034466,27
2015.75,4.2404218,127
2015.8334,4.2953639,192
2015.9166,4.3910031,662
2016,4.4868684,2014
2016.0834,4.4170871,4667
2016.1666,4.2085328,5160
2016.25,4.0057955,2041
2016.3334,3.8399155,703
2016.4166,3.9425564,27
2016.5,4.0385461,30
2016.5834,3.9215713,43
2016.6666,3.9909427,25
2016.75,4.303493,118
2016.8334,4.4642015,325
2016.9166,4.5513692,2349
2017,4.6649261,6323
2017.0834,4.2932668,2973
2017.1666,3.9271622,1248
2017.25,3.6948004,793
2017.3334,3.8383541,671
2017.4166,3.8508949,10
2017.5,4.0184031,13
2017.5834,4.0008149,10
2017.666667,,10
2017.75,,268
2017.833333,,647
2017.916667,,6308
2018,,11200
